"Wavelength nm.","Abs."
500.00,0.033
500.50,0.032
501.00,0.032
501.50,0.032
502.00,0.032
502.50,0.032
503.00,0.032
503.50,0.032
504.00,0.032
504.50,0.032
505.00,0.032
505.50,0.032
506.00,0.032
506.50,0.032
507.00,0.032
507.50,0.032
508.00,0.032
508.50,0.033
509.00,0.033
509.50,0.033
510.00,0.033
510.50,0.033
511.00,0.034
511.50,0.034
512.00,0.034
512.50,0.034
513.00,0.035
513.50,0.035
514.00,0.035
514.50,0.036
515.00,0.036
515.50,0.036
516.00,0.037
516.50,0.037
517.00,0.038
517.50,0.038
518.00,0.038
518.50,0.039
519.00,0.039
519.50,0.040
520.00,0.040
520.50,0.041
521.00,0.042
521.50,0.042
522.00,0.043
522.50,0.043
523.00,0.044
523.50,0.045
524.00,0.045
524.50,0.046
525.00,0.047
525.50,0.047
526.00,0.048
526.50,0.049
527.00,0.049
527.50,0.050
528.00,0.051
528.50,0.051
529.00,0.052
529.50,0.053
530.00,0.054
530.50,0.054
531.00,0.055
531.50,0.056
532.00,0.057
532.50,0.057
533.00,0.058
533.50,0.059
534.00,0.060
534.50,0.060
535.00,0.061
535.50,0.062
536.00,0.063
536.50,0.064
537.00,0.065
537.50,0.065
538.00,0.066
538.50,0.067
539.00,0.068
539.50,0.069
540.00,0.070
540.50,0.071
541.00,0.071
541.50,0.072
542.00,0.073
542.50,0.074
543.00,0.075
543.50,0.076
544.00,0.077
544.50,0.078
545.00,0.079
545.50,0.080
546.00,0.081
546.50,0.082
547.00,0.083
547.50,0.083
548.00,0.085
548.50,0.086
549.00,0.086
549.50,0.088
550.00,0.089
550.50,0.090
551.00,0.091
551.50,0.092
552.00,0.093
552.50,0.094
553.00,0.095
553.50,0.096
554.00,0.097
554.50,0.098
555.00,0.099
555.50,0.100
556.00,0.101
556.50,0.102
557.00,0.103
557.50,0.104
558.00,0.106
558.50,0.107
559.00,0.108
559.50,0.109
560.00,0.110
560.50,0.111
561.00,0.113
561.50,0.114
562.00,0.115
562.50,0.116
563.00,0.117
563.50,0.119
564.00,0.120
564.50,0.121
565.00,0.123
565.50,0.124
566.00,0.125
566.50,0.127
567.00,0.128
567.50,0.130
568.00,0.131
568.50,0.133
569.00,0.134
569.50,0.136
570.00,0.137
570.50,0.139
571.00,0.140
571.50,0.142
572.00,0.143
572.50,0.145
573.00,0.147
573.50,0.148
574.00,0.150
574.50,0.152
575.00,0.153
575.50,0.155
576.00,0.157
576.50,0.158
577.00,0.160
577.50,0.162
578.00,0.164
578.50,0.166
579.00,0.167
579.50,0.169
580.00,0.171
580.50,0.173
581.00,0.175
581.50,0.176
582.00,0.178
