"Wavelength nm.","Abs."
500.00,0.165
500.50,0.164
501.00,0.162
501.50,0.161
502.00,0.160
502.50,0.160
503.00,0.159
503.50,0.159
504.00,0.159
504.50,0.159
505.00,0.160
505.50,0.160
506.00,0.161
506.50,0.161
507.00,0.162
507.50,0.163
508.00,0.165
508.50,0.166
509.00,0.167
509.50,0.169
510.00,0.171
510.50,0.173
511.00,0.175
511.50,0.177
512.00,0.179
512.50,0.182
513.00,0.184
513.50,0.187
514.00,0.190
514.50,0.193
515.00,0.196
515.50,0.199
516.00,0.202
516.50,0.206
517.00,0.210
517.50,0.213
518.00,0.217
518.50,0.221
519.00,0.225
519.50,0.230
520.00,0.234
520.50,0.239
521.00,0.243
521.50,0.248
522.00,0.253
522.50,0.258
523.00,0.263
523.50,0.268
524.00,0.273
524.50,0.279
525.00,0.284
525.50,0.290
526.00,0.296
526.50,0.302
527.00,0.307
527.50,0.313
528.00,0.319
528.50,0.325
529.00,0.331
529.50,0.337
530.00,0.344
530.50,0.350
531.00,0.357
531.50,0.363
532.00,0.369
532.50,0.376
533.00,0.382
533.50,0.389
534.00,0.396
534.50,0.403
535.00,0.410
535.50,0.417
536.00,0.423
536.50,0.430
537.00,0.437
537.50,0.445
538.00,0.452
538.50,0.459
539.00,0.466
539.50,0.474
540.00,0.481
540.50,0.488
541.00,0.496
541.50,0.504
542.00,0.511
542.50,0.519
543.00,0.527
543.50,0.534
544.00,0.542
544.50,0.550
545.00,0.558
545.50,0.566
546.00,0.574
546.50,0.582
547.00,0.591
547.50,0.599
548.00,0.607
548.50,0.615
549.00,0.623
549.50,0.631
550.00,0.639
550.50,0.648
551.00,0.656
551.50,0.664
552.00,0.672
552.50,0.680
553.00,0.688
553.50,0.696
554.00,0.704
554.50,0.713
555.00,0.720
555.50,0.728
556.00,0.736
556.50,0.744
557.00,0.751
557.50,0.759
558.00,0.767
558.50,0.775
559.00,0.783
559.50,0.790
560.00,0.798
560.50,0.805
561.00,0.813
561.50,0.821
562.00,0.828
562.50,0.835
563.00,0.843
563.50,0.851
564.00,0.858
564.50,0.866
565.00,0.873
565.50,0.881
566.00,0.888
566.50,0.896
567.00,0.903
567.50,0.911
568.00,0.919
568.50,0.926
569.00,0.933
569.50,0.940
570.00,0.948
570.50,0.955
571.00,0.962
571.50,0.969
572.00,0.976
572.50,0.984
573.00,0.991
573.50,0.998
574.00,1.005
574.50,1.012
575.00,1.019
575.50,1.025
576.00,1.031
576.50,1.038
577.00,1.044
577.50,1.050
578.00,1.057
578.50,1.063
579.00,1.069
579.50,1.075
580.00,1.081
580.50,1.087
581.00,1.093
581.50,1.099
582.00,1.104
582.50,1.110
583.00,1.116
583.50,1.121
584.00,1.127
584.50,1.132
585.00,1.137
585.50,1.142
586.00,1.147
586.50,1.152
587.00,1.158
587.50,1.163
588.00,1.167
588.50,1.172
589.00,1.176
589.50,1.181
590.00,1.186
590.50,1.190
591.00,1.194
591.50,1.198
592.00,1.202
592.50,1.206
593.00,1.210
593.50,1.213
594.00,1.217
594.50,1.220
595.00,1.223
595.50,1.226
596.00,1.229
596.50,1.232
597.00,1.234
597.50,1.237
598.00,1.239
598.50,1.241
599.00,1.243
599.50,1.245
600.00,1.246
600.50,1.248
601.00,1.249
601.50,1.251
602.00,1.252
602.50,1.253
603.00,1.254
603.50,1.255
604.00,1.256
604.50,1.257
605.00,1.258
605.50,1.258
606.00,1.259
606.50,1.260
607.00,1.260
607.50,1.261
608.00,1.261
608.50,1.262
609.00,1.262
609.50,1.263
610.00,1.263
610.50,1.263
611.00,1.263
611.50,1.263
612.00,1.264
612.50,1.264
613.00,1.264
613.50,1.263
614.00,1.263
614.50,1.263
615.00,1.263
615.50,1.262
616.00,1.262
616.50,1.262
617.00,1.261
617.50,1.261
618.00,1.260
618.50,1.259
619.00,1.258
619.50,1.257
620.00,1.257
620.50,1.256
621.00,1.255
621.50,1.253
622.00,1.252
622.50,1.251
623.00,1.250
623.50,1.249
624.00,1.248
624.50,1.247
625.00,1.245
625.50,1.244
626.00,1.242
626.50,1.241
627.00,1.240
627.50,1.238
628.00,1.237
628.50,1.235
629.00,1.234
629.50,1.232
630.00,1.230
630.50,1.228
631.00,1.227
631.50,1.225
632.00,1.223
632.50,1.221
633.00,1.219
633.50,1.217
634.00,1.215
634.50,1.212
635.00,1.210
635.50,1.207
636.00,1.205
636.50,1.202
637.00,1.200
637.50,1.197
638.00,1.194
638.50,1.191
639.00,1.188
639.50,1.185
640.00,1.182
640.50,1.179
641.00,1.176
641.50,1.172
642.00,1.169
642.50,1.165
643.00,1.162
643.50,1.158
644.00,1.155
644.50,1.151
645.00,1.147
645.50,1.144
646.00,1.140
646.50,1.136
647.00,1.133
647.50,1.129
648.00,1.125
648.50,1.122
649.00,1.118
649.50,1.114
650.00,1.111
650.50,1.107
651.00,1.104
651.50,1.100
652.00,1.097
652.50,1.093
653.00,1.090
653.50,1.086
654.00,1.083
654.50,1.079
655.00,1.076
655.50,1.073
656.00,1.069
656.50,1.066
657.00,1.063
657.50,1.060
658.00,1.057
658.50,1.053
659.00,1.050
659.50,1.047
660.00,1.044
660.50,1.041
661.00,1.038
661.50,1.035
662.00,1.032
662.50,1.028
663.00,1.025
663.50,1.022
664.00,1.019
664.50,1.016
665.00,1.013
665.50,1.010
666.00,1.007
666.50,1.004
667.00,1.001
667.50,0.998
668.00,0.995
668.50,0.992
669.00,0.989
669.50,0.986
670.00,0.983
670.50,0.980
671.00,0.978
671.50,0.975
672.00,0.972
672.50,0.968
673.00,0.965
673.50,0.962
674.00,0.959
674.50,0.956
675.00,0.953
675.50,0.950
676.00,0.947
676.50,0.944
677.00,0.941
677.50,0.937
678.00,0.934
678.50,0.930
679.00,0.927
679.50,0.923
680.00,0.919
680.50,0.916
681.00,0.912
681.50,0.908
682.00,0.904
682.50,0.900
683.00,0.896
683.50,0.892
684.00,0.888
684.50,0.883
685.00,0.879
685.50,0.874
686.00,0.869
686.50,0.865
687.00,0.860
687.50,0.855
688.00,0.849
688.50,0.844
689.00,0.839
689.50,0.834
690.00,0.828
690.50,0.822
691.00,0.816
691.50,0.810
692.00,0.804
692.50,0.798
693.00,0.792
693.50,0.786
694.00,0.780
694.50,0.773
695.00,0.767
695.50,0.761
696.00,0.754
696.50,0.748
697.00,0.741
697.50,0.734
698.00,0.728
698.50,0.722
699.00,0.715
699.50,0.708
700.00,0.701
700.50,0.694
701.00,0.688
701.50,0.681
702.00,0.674
702.50,0.667
703.00,0.661
703.50,0.654
704.00,0.647
704.50,0.641
705.00,0.634
705.50,0.627
706.00,0.620
706.50,0.613
707.00,0.605
707.50,0.598
708.00,0.591
708.50,0.584
709.00,0.577
709.50,0.570
710.00,0.563
710.50,0.556
711.00,0.548
711.50,0.541
712.00,0.534
712.50,0.527
713.00,0.520
713.50,0.513
714.00,0.506
