"Wavelength nm.","Abs."
699.00,0.379
699.50,0.375
700.00,0.372
700.50,0.368
701.00,0.365
701.50,0.361
702.00,0.358
702.50,0.354
703.00,0.351
703.50,0.347
704.00,0.344
704.50,0.340
705.00,0.336
705.50,0.333
706.00,0.329
706.50,0.325
707.00,0.321
707.50,0.318
708.00,0.314
708.50,0.310
709.00,0.307
709.50,0.303
710.00,0.299
710.50,0.295
711.00,0.291
711.50,0.287
712.00,0.284
712.50,0.280
713.00,0.276
713.50,0.272
714.00,0.268
714.50,0.265
715.00,0.261
715.50,0.257
716.00,0.253
716.50,0.250
717.00,0.246
717.50,0.243
718.00,0.240
718.50,0.236
719.00,0.233
719.50,0.229
720.00,0.226
720.50,0.223
721.00,0.219
721.50,0.216
722.00,0.213
722.50,0.210
723.00,0.207
723.50,0.204
724.00,0.201
724.50,0.198
725.00,0.195
725.50,0.192
726.00,0.189
726.50,0.187
727.00,0.184
727.50,0.181
728.00,0.179
728.50,0.176
729.00,0.173
729.50,0.171
730.00,0.168
730.50,0.165
731.00,0.163
731.50,0.161
732.00,0.158
732.50,0.156
733.00,0.153
733.50,0.151
734.00,0.149
734.50,0.146
735.00,0.144
735.50,0.142
736.00,0.140
736.50,0.137
737.00,0.135
737.50,0.133
738.00,0.131
738.50,0.129
739.00,0.127
739.50,0.125
740.00,0.123
740.50,0.121
741.00,0.119
741.50,0.118
742.00,0.116
742.50,0.114
743.00,0.112
743.50,0.111
744.00,0.109
744.50,0.108
745.00,0.106
745.50,0.105
746.00,0.103
746.50,0.102
747.00,0.100
747.50,0.099
748.00,0.098
748.50,0.096
749.00,0.095
749.50,0.094
750.00,0.092
750.50,0.091
751.00,0.090
751.50,0.089
752.00,0.088
752.50,0.087
753.00,0.085
753.50,0.084
754.00,0.083
754.50,0.082
755.00,0.081
755.50,0.080
756.00,0.079
756.50,0.078
757.00,0.077
757.50,0.076
758.00,0.075
758.50,0.074
759.00,0.074
759.50,0.073
760.00,0.072
760.50,0.071
761.00,0.071
761.50,0.070
762.00,0.069
762.50,0.068
763.00,0.068
763.50,0.067
764.00,0.066
764.50,0.066
765.00,0.065
765.50,0.065
766.00,0.064
766.50,0.064
767.00,0.063
767.50,0.063
768.00,0.062
768.50,0.062
769.00,0.062
769.50,0.061
770.00,0.061
770.50,0.061
771.00,0.060
771.50,0.060
772.00,0.060
772.50,0.060
773.00,0.059
773.50,0.059
774.00,0.059
774.50,0.059
775.00,0.059
775.50,0.059
776.00,0.059
776.50,0.058
777.00,0.058
777.50,0.058
778.00,0.058
778.50,0.058
779.00,0.058
779.50,0.058
780.00,0.058
780.50,0.059
781.00,0.059
781.50,0.059
782.00,0.059
782.50,0.059
783.00,0.059
783.50,0.059
784.00,0.060
784.50,0.060
785.00,0.060
785.50,0.060
786.00,0.061
786.50,0.061
787.00,0.061
787.50,0.062
788.00,0.062
788.50,0.062
789.00,0.063
789.50,0.063
790.00,0.063
790.50,0.064
791.00,0.064
791.50,0.065
792.00,0.065
792.50,0.066
793.00,0.066
793.50,0.067
794.00,0.067
794.50,0.068
795.00,0.068
795.50,0.069
796.00,0.070
796.50,0.070
797.00,0.071
797.50,0.072
798.00,0.072
798.50,0.073
799.00,0.074
799.50,0.074
800.00,0.075
800.50,0.076
801.00,0.077
801.50,0.077
802.00,0.078
802.50,0.079
803.00,0.080
803.50,0.081
804.00,0.082
804.50,0.083
805.00,0.084
805.50,0.085
806.00,0.086
806.50,0.087
807.00,0.088
807.50,0.089
808.00,0.090
808.50,0.091
809.00,0.092
809.50,0.093
810.00,0.094
810.50,0.095
811.00,0.096
811.50,0.097
812.00,0.098
812.50,0.100
813.00,0.101
813.50,0.102
814.00,0.103
814.50,0.104
815.00,0.105
815.50,0.107
816.00,0.108
816.50,0.109
817.00,0.110
817.50,0.112
818.00,0.113
818.50,0.114
819.00,0.116
819.50,0.117
820.00,0.118
820.50,0.120
821.00,0.121
821.50,0.122
822.00,0.124
822.50,0.125
823.00,0.127
823.50,0.128
824.00,0.130
824.50,0.131
825.00,0.132
825.50,0.134
826.00,0.135
826.50,0.137
827.00,0.139
827.50,0.140
828.00,0.142
828.50,0.144
829.00,0.145
829.50,0.147
830.00,0.148
830.50,0.150
831.00,0.152
831.50,0.153
832.00,0.155
832.50,0.157
833.00,0.158
833.50,0.160
834.00,0.162
834.50,0.163
835.00,0.165
835.50,0.167
836.00,0.169
836.50,0.170
837.00,0.172
837.50,0.174
838.00,0.175
838.50,0.177
839.00,0.179
839.50,0.181
840.00,0.182
840.50,0.184
841.00,0.186
841.50,0.188
842.00,0.189
842.50,0.191
843.00,0.193
843.50,0.195
844.00,0.197
844.50,0.199
845.00,0.201
845.50,0.202
846.00,0.204
846.50,0.206
847.00,0.208
847.50,0.210
848.00,0.212
848.50,0.214
849.00,0.216
849.50,0.218
850.00,0.220
850.50,0.222
851.00,0.224
851.50,0.227
852.00,0.229
852.50,0.231
853.00,0.233
853.50,0.235
854.00,0.237
854.50,0.239
855.00,0.241
855.50,0.243
856.00,0.245
856.50,0.247
857.00,0.249
857.50,0.251
858.00,0.253
858.50,0.255
859.00,0.257
859.50,0.259
860.00,0.261
860.50,0.263
861.00,0.265
861.50,0.267
862.00,0.269
862.50,0.271
863.00,0.273
863.50,0.275
864.00,0.277
864.50,0.279
